GEO_NAME,income,Shelter-cost-to-income-ratio,tenure,fraction
St. John's,"Under $10,000",Spending less than 30% of income on shelter costs,170,0.07852194
St. John's,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,1150,0.223953262
St. John's,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,2270,0.353307393
St. John's,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,3615,0.529282577
St. John's,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,4150,0.699241786
St. John's,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,4215,0.766363636
St. John's,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,4580,0.841911765
St. John's,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,4720,0.899904671
St. John's,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,4570,0.942268041
St. John's,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,4345,0.96234773
St. John's,"$100,000 and over",Spending less than 30% of income on shelter costs,32700,0.991510006
Bay Roberts,"Under $10,000",Spending less than 30% of income on shelter costs,10,0.111111111
Bay Roberts,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,130,0.337662338
Bay Roberts,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,285,0.587628866
Bay Roberts,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,345,0.683168317
Bay Roberts,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,260,0.838709677
Bay Roberts,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,265,0.841269841
Bay Roberts,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,305,0.983870968
Bay Roberts,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,275,0.916666667
Bay Roberts,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,200,0.952380952
Bay Roberts,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,195,0.975
Bay Roberts,"$100,000 and over",Spending less than 30% of income on shelter costs,1385,0.992831541
Grand Falls-Windsor,"Under $10,000",Spending less than 30% of income on shelter costs,20,0.129032258
Grand Falls-Windsor,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,180,0.302521008
Grand Falls-Windsor,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,305,0.516949153
Grand Falls-Windsor,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,440,0.704
Grand Falls-Windsor,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,445,0.824074074
Grand Falls-Windsor,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,480,0.941176471
Grand Falls-Windsor,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,400,0.930232558
Grand Falls-Windsor,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,385,0.950617284
Grand Falls-Windsor,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,325,0.955882353
Grand Falls-Windsor,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,270,1
Grand Falls-Windsor,"$100,000 and over",Spending less than 30% of income on shelter costs,1625,0.993883792
Gander,"Under $10,000",Spending less than 30% of income on shelter costs,10,0.142857143
Gander,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,75,0.182926829
Gander,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,175,0.376344086
Gander,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,345,0.711340206
Gander,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,330,0.835443038
Gander,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,445,0.855769231
Gander,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,385,0.93902439
Gander,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,280,0.965517241
Gander,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,365,0.986486486
Gander,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,280,0.965517241
Gander,"$100,000 and over",Spending less than 30% of income on shelter costs,1835,0.997282609
Corner Brook,"Under $10,000",Spending less than 30% of income on shelter costs,40,0.123076923
Corner Brook,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,330,0.364640884
Corner Brook,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,730,0.519572954
Corner Brook,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,1070,0.701639344
Corner Brook,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,895,0.792035398
Corner Brook,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,960,0.888888889
Corner Brook,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,925,0.958549223
Corner Brook,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,730,0.954248366
Corner Brook,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,865,0.971910112
Corner Brook,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,685,0.985611511
Corner Brook,"$100,000 and over",Spending less than 30% of income on shelter costs,3905,0.992376112
Charlottetown,"Under $10,000",Spending less than 30% of income on shelter costs,25,0.025125628
Charlottetown,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,560,0.24137931
Charlottetown,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,955,0.389002037
Charlottetown,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,1670,0.576856649
Charlottetown,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,1935,0.748549323
Charlottetown,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,2195,0.897750511
Charlottetown,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,2085,0.937078652
Charlottetown,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,2065,0.971764706
Charlottetown,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,1725,0.95567867
Charlottetown,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,1460,0.989830508
Charlottetown,"$100,000 and over",Spending less than 30% of income on shelter costs,7525,0.986238532
Summerside,"Under $10,000",Spending less than 30% of income on shelter costs,10,0.060606061
Summerside,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,215,0.284768212
Summerside,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,420,0.518518519
Summerside,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,610,0.681564246
Summerside,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,670,0.875816993
Summerside,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,645,0.921428571
Summerside,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,550,0.94017094
Summerside,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,470,0.989473684
Summerside,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,445,1
Summerside,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,330,1
Summerside,"$100,000 and over",Spending less than 30% of income on shelter costs,1295,0.988549618
Halifax,"Under $10,000",Spending less than 30% of income on shelter costs,185,0.028179741
Halifax,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,1550,0.134025076
Halifax,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,3580,0.269578313
Halifax,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,7995,0.534425134
Halifax,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,10125,0.702880944
Halifax,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,11000,0.785433774
Halifax,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,11155,0.880078895
Halifax,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,11120,0.930933445
Halifax,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,10690,0.956599553
Halifax,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,9370,0.978590078
Halifax,"$100,000 and over",Spending less than 30% of income on shelter costs,52800,0.990526217
Kentville,"Under $10,000",Spending less than 30% of income on shelter costs,20,0.064516129
Kentville,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,190,0.192893401
Kentville,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,530,0.407692308
Kentville,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,925,0.725490196
Kentville,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,945,0.811158798
Kentville,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,995,0.904545455
Kentville,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,835,0.965317919
Kentville,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,830,0.959537572
Kentville,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,650,0.977443609
Kentville,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,490,0.98989899
Kentville,"$100,000 and over",Spending less than 30% of income on shelter costs,2295,0.984978541
Truro,"Under $10,000",Spending less than 30% of income on shelter costs,25,0.035211268
Truro,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,470,0.243523316
Truro,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,975,0.464285714
Truro,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,1655,0.727472527
Truro,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,1805,0.863636364
Truro,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,1460,0.918238994
Truro,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,1590,0.938053097
Truro,"$70,000 to $79,999",Spending less than 30% of income on shelter costs,1360,0.96797153
Truro,"$80,000 to $89,999",Spending less than 30% of income on shelter costs,1165,0.987288136
Truro,"$90,000 to $99,999",Spending less than 30% of income on shelter costs,905,0.952631579
Truro,"$100,000 and over",Spending less than 30% of income on shelter costs,4090,0.979640719
New Glasgow,"Under $10,000",Spending less than 30% of income on shelter costs,35,0.082352941
New Glasgow,"$10,000 to $19,999",Spending less than 30% of income on shelter costs,415,0.276666667
New Glasgow,"$20,000 to $29,999",Spending less than 30% of income on shelter costs,880,0.544891641
New Glasgow,"$30,000 to $39,999",Spending less than 30% of income on shelter costs,1250,0.724637681
New Glasgow,"$40,000 to $49,999",Spending less than 30% of income on shelter costs,1330,0.860841424
New Glasgow,"$50,000 to $59,999",Spending less than 30% of income on shelter costs,1140,0.908366534
New Glasgow,"$60,000 to $69,999",Spending less than 30% of income on shelter costs,1035,0.932432432
