GEO_NAME,income,Shelter-cost-to-income-ratio,tenure,fraction
St. John's,"Under $10,000",Spending 30% or more of income on shelter costs,1865,0.861431871
St. John's,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,3990,0.777020448
St. John's,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,4155,0.646692607
St. John's,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,3215,0.470717423
St. John's,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,1765,0.297388374
St. John's,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,1280,0.232727273
St. John's,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,855,0.157169118
St. John's,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,520,0.09914204
St. John's,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,275,0.056701031
St. John's,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,160,0.035437431
St. John's,"$100,000 and over",Spending 30% or more of income on shelter costs,255,0.007731959
Bay Roberts,"Under $10,000",Spending 30% or more of income on shelter costs,75,0.833333333
Bay Roberts,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,255,0.662337662
Bay Roberts,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,205,0.422680412
Bay Roberts,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,155,0.306930693
Bay Roberts,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,50,0.161290323
Bay Roberts,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,55,0.174603175
Bay Roberts,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,10,0.032258065
Bay Roberts,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.083333333
Bay Roberts,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.047619048
Bay Roberts,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.05
Bay Roberts,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.007168459
Grand Falls-Windsor,"Under $10,000",Spending 30% or more of income on shelter costs,130,0.838709677
Grand Falls-Windsor,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,415,0.697478992
Grand Falls-Windsor,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,285,0.483050847
Grand Falls-Windsor,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,190,0.304
Grand Falls-Windsor,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,100,0.185185185
Grand Falls-Windsor,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,30,0.058823529
Grand Falls-Windsor,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,30,0.069767442
Grand Falls-Windsor,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.049382716
Grand Falls-Windsor,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.029411765
Grand Falls-Windsor,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Grand Falls-Windsor,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.006116208
